coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,02DG,4,,,WEB*,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,,02D1,4,,,WEB*,,INTRO MANAGERIAL ACCT,"Schadewald,Michael;",,,,
ACG,3101,,165D,4,T R,5-6,GER,0126,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3101,,1685,4,T R,7-8,GER,0126,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3101,,1689,4,M W,5-6,GER,0126,FIN ACCOUNTING REP 1,"Singh,Sonia R;",,,,
ACG,3101,,4D71,4,M W,7-8,GER,0126,FIN ACCOUNTING REP 1,"Singh,Sonia R;",,,,
ACG,3401,,03G4,4,T R,1-2,GER,0126,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,,1665,4,T R,3-4,GER,0126,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,,1010,4,M W,3-4,GER,0121,FIN ACCOUNTING REP 2,"Monk,Donald Royce;",,,,
ACG,4341,,1045,4,T R,7-8,GER,0122,COST MGMNT ACCOUNTING,"Impink,Johannes;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,,DEPT,2,T R,3-4,HGS,150,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,DEPT,2,T R,5-6,HGS,150,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,DEPT,2,T R,7-8,HGS,150,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5065,,DEPT,3,,,WEB,,FINAN/MANAG ACCOUNTNG,"Kirk,Marcus;",,,,
