coursePrefix,courseNum,title,subCategory
ALS,5156,Agricultural Ecology Principles & Applications,Principles of Ecology
PCB,5338,Principles of Ecosystem Ecology,"Principles of Ecology,Particular Systems,Natural Science"
FAS,5901,Scientific Thinking in Ecology,"Particular Systems,Social Science"
ANG,6086,Historical Ecology,"Particular Systems,Social Science"
LAS,6290/ANT,Ethnoecology in Conservation,Particular Systems
ALS,6930,Graduate Seminar: Principles of Agroecology,Particular Systems
EES,5305C,Ecological & General Systems,Particular Systems
EES,6007,Advanced Energy and Environment,"Particular Systems,Natural Science,Sustainability"
EES,6301,Comparative Approaches in Systems Ecology,Particular Systems
PCB,5046C,Advanced Ecology,Particular Systems
PCB,5415C,Behavioral Ecology,Particular Systems
PCB,6447C,Community Ecology,Particular Systems
WIS,5555C,Conservation Biology,"Particular Systems,Natural Science"
WIS,6455,Wildlife Population Ecology,"Particular Systems,Natural Science"
WIS,6468C,Pattern and Process in Landscape Ecology,"Particular Systems,Natural Science,Social Science,Research & Design"
ZOO,6927,Special Topics in Zoology: Macroecology,Particular Systems
BOT,5695,Ecosystems of Florida,"Particular Systems,Natural Science"
EES,6308C,Wetland Ecology,"Particular Systems,Natural Science"
EES,6318,Principles of Industrial Ecology,"Particular Systems,Sustainability"
EES,6356,Estuarine Systems,"Particular Systems,Natural Science"
ENV,6932,Special Problems in Environmental Engineering: Springs Ecosystems,Particular Systems
ENY,6203,Insect Ecology,"Particular Systems,Natural Science"
ENY,6203L,Insect Ecology Laboratory,"Particular Systems,Natural Science"
FAS,5276C,Field Ecology of Aquatic Organisms,Particular Systems
FAS,6272,Marine Ecological Processes,Particular Systems
FAS,6932,Special Topics in Fisheries and Aquatic Sciences: Plankton Ecology,Particular Systems
LAS,6938,Special Topics in Modern Latin American Studies: Ecological Principles for Development Professionals,Particular Systems
NEM,6201,Nematode Ecology,Particular Systems
PCB,5307C,Limnology,"Particular Systems,Natural Science"
PCB,5356,Tropical Ecology,"Particular Systems,Natural Science"
PCB,6377C,Physiological Ecology of Vertebrates,Particular Systems
PCB,6496C,Stream Ecology,Particular Systems
PLS,6623,Invasion Ecology (formerly 'Weed Ecology'),Particular Systems
SWS,5050,Soils for Environmental Professionals,"Particular Systems,Natural Science"
SWS,5235,South Florida Ecosystems,"Particular Systems,Natural Science"
SWS,5305C,Soil Microbial Ecology,"Particular Systems,Natural Science"
SWS,6323,Advanced Microbial Ecology,"Particular Systems,Research & Design"
WIS,6444,Advanced Wetlands Ecology,"Particular Systems,Natural Science"
WIS,6452,Wildlife Ecology,"Particular Systems,Natural Science"
WIS,6934,Topics in Wildlife and Range Sciences: An Introduction to Tropical Ecology and Conservation,"Particular Systems,Natural Science"
WIS,6934,Topics in Wildlife and Range Sciences: Climate Change Ecology,Particular Systems
ZOO,6542,Nutrition Ecology,Particular Systems
ABE,5643C,Biological Systems Modeling,"Natural Science,Sustainability,Research & Design"
ANG,6930,Special Topics in Anthropology: Hunter-Gatherers,"Natural Science,Social Science"
AOM,6932,Special Topics in Agricultural Operations Management: Principles and Issues in Environmental Hydrology,"Natural Science,Sustainability"
BOT,5655C,Physiological Plant Ecology,Natural Science
BOT,5685C,Tropical Botany,Natural Science
BOT,5695C,Ecosystems of Florida,"Particular Systems,Natural Science"
BOT,5725C,Taxonomy of Vascular Plants,Natural Science
BOT,6935,Special Topics: Ecology and Natural History of the Tropics,Natural Science
EES,5207,Environmental Chemistry,Natural Science
ENV,6441,Water Resources Planning and Management,"Natural Science,Social Science,Sustainability"
ENV,6511,Biological Wastewater Treatment,Natural Science
ENV,6932,Special Problems in Environmental Engineering,Natural Science
ENV,6935,Graduate Environmental Engineering Seminar: Adaptive Management,Natural Science
ENY,6166,Insect Classification,Natural Science
FAS,6932,Special Topics in Fisheries and Aquatic Sciences,Natural Science
FOR,5159,Ecology and Restoration of Longleaf Pine Ecosystems,Natural Science
FOR,5756,Non-Timber Forest Products,Natural Science
FOR,6154,Analysis of Forest Ecosystems,Natural Science
FOR,6170,Tropical Forestry,"Natural Science,Sustainability"
FOR,6934,Topics in Forest Resources and Conservation,Natural Science
HOS,6932,Special Topics: Advanced Restoration Ecology,Natural Science
LAA,6231,Landscape Architecture Theory,Natural Science
LAS,6938,Seminar in Modern Latin American Studies: Ecological Principles for Development Professionals,Natural Science
